Incident Type,Date,Location,Number of Victims,Responsible Party,Latitude,Longitude,Source
Civilian Bombing,2009-12-24,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2010-01-08,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2010-01-23,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2010-02-07,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2010-02-22,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2010-03-09,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2010-03-24,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2010-04-08,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2010-04-23,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2010-05-08,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2010-05-23,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2010-06-07,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2010-06-22,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2010-07-07,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2010-07-22,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2010-08-06,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2010-08-21,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2010-09-05,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2010-09-20,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2010-10-05,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2010-10-20,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2010-11-04,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2010-11-19,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2010-12-04,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2010-12-19,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2011-01-03,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2011-01-18,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2011-02-02,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2011-02-17,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2011-03-04,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2011-03-19,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2011-04-03,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2011-04-18,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2011-05-03,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2011-05-18,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2011-06-02,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2011-06-17,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2011-07-02,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2011-07-17,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2011-08-01,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2011-08-16,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2011-08-31,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2011-09-15,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2011-09-30,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2011-10-15,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2011-10-30,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2011-11-14,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2011-11-29,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2011-12-14,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2011-12-29,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2012-01-13,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2012-01-28,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2012-02-12,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2012-02-27,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2012-03-13,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2012-03-28,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2012-04-12,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2012-04-27,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2012-05-12,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2012-05-27,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2012-06-11,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2012-06-26,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2012-07-11,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2012-07-26,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2012-08-10,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2012-08-25,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2012-09-09,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2012-09-24,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2012-10-09,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2012-10-24,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2012-11-08,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2012-11-23,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2012-12-08,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2012-12-23,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2013-01-07,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2013-01-22,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2013-02-06,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2013-02-21,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2013-03-08,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2013-03-23,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2013-04-07,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2013-04-22,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2013-05-07,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2013-05-22,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2013-06-06,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2013-06-21,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2013-07-06,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2013-07-21,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2013-08-05,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2013-08-20,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2013-09-04,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2013-09-19,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2013-10-04,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2013-10-19,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2013-11-03,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2013-11-18,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2013-12-03,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2013-12-18,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2014-01-02,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2014-01-17,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2014-02-01,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2014-02-16,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2014-03-03,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2014-03-18,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2014-04-02,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2014-04-17,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2014-05-02,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2014-05-17,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2014-06-01,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2014-06-16,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2014-07-01,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2014-07-16,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2014-07-31,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2014-08-15,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2014-08-30,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2014-09-14,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2014-09-29,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2014-10-14,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2014-10-29,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2014-11-13,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2014-11-28,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2014-12-13,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2014-12-28,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2015-01-12,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2015-01-27,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2015-02-11,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2015-02-26,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2015-03-13,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2015-03-28,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2015-04-12,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2015-04-27,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2015-05-12,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2015-05-27,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2015-06-11,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2015-06-26,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2015-07-11,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2015-07-26,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2015-08-10,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2015-08-25,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2015-09-09,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2015-09-24,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2015-10-09,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2015-10-24,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2015-11-08,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2015-11-23,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2015-12-08,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2015-12-23,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2016-01-07,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2016-01-22,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2016-02-06,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2016-02-21,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2016-03-07,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2016-03-22,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2016-04-06,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2016-04-21,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2016-05-06,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2016-05-21,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2016-06-05,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2016-06-20,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2016-07-05,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2016-07-20,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2016-08-04,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2016-08-19,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2016-09-03,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2016-09-18,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2016-10-03,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2016-10-18,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2016-11-02,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2016-11-17,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2016-12-02,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2016-12-17,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2017-01-01,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2017-01-16,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2017-01-31,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2017-02-15,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2017-03-02,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2017-03-17,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2017-04-01,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2017-04-16,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2017-05-01,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2017-05-16,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2017-05-31,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2017-06-15,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2017-06-30,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2017-07-15,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2017-07-30,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2017-08-14,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2017-08-29,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2017-09-13,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2017-09-28,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2017-10-13,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2017-10-28,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2017-11-12,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2017-11-27,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2017-12-12,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2017-12-27,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2018-01-11,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2018-01-26,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2018-02-10,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2018-02-25,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2018-03-12,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2018-03-27,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2018-04-11,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2018-04-26,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2018-05-11,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2018-05-26,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2018-06-10,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2018-06-25,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2018-07-10,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2018-07-25,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2018-08-09,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2018-08-24,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2018-09-08,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2018-09-23,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2018-10-08,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2018-10-23,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2018-11-07,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2018-11-22,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2018-12-07,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2018-12-22,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2019-01-06,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2019-01-21,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2019-02-05,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2019-02-20,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2019-03-07,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2019-03-22,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2019-04-06,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2019-04-21,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2019-05-06,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2019-05-21,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2019-06-05,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2019-06-20,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2019-07-05,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2019-07-20,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2019-08-04,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2019-08-19,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2019-09-03,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2019-09-18,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2019-10-03,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2019-10-18,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2019-11-02,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2019-11-17,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2019-12-02,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2019-12-17,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
